Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ChitChat,filedata,accountdata,populateAccounts,Magic Number,The method contains a magic number: 2,17
ChitChat,filedata,accountdata,populateAccounts,Magic Number,The method contains a magic number: 3,17
ChitChat,ui,createaccountWindow,createaccountWindow,Magic Number,The method contains a magic number: 500,32
ChitChat,ui,createaccountWindow,createaccountWindow,Magic Number,The method contains a magic number: 80,32
ChitChat,ui,createaccountWindow,createaccountWindow,Magic Number,The method contains a magic number: 1250,32
ChitChat,ui,createaccountWindow,createaccountWindow,Magic Number,The method contains a magic number: 850,32
ChitChat,ui,createaccountWindow,framekeycreatewindow,Complex Conditional,The conditional expression usernameField.getText().equalsIgnoreCase("") || nickField.getText().equalsIgnoreCase("") || passwordField.getText().equalsIgnoreCase("")|| emailfield.getText().equalsIgnoreCase("") is complex.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Method,The method has 172 lines of code.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Statement,The length of the statement "usernameField.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 122.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Statement,The length of the statement "passwordField.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 122.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Statement,The length of the statement "submitButton.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 121.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Statement,The length of the statement "if (usernameField.getText().equalsIgnoreCase("") || nickField.getText().equalsIgnoreCase("") || passwordField.getText().equalsIgnoreCase("")|| emailfield.getText().equalsIgnoreCase("")) {" is 187.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Long Statement,The length of the statement "userstructure newUser=aaccounts.createAccount(String.valueOf(passwordField.getPassword())`usernameField.getText()`nickField.getText()`emailfield.getText());" is 156.,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 500,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 500,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 40,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 15,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 15,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 15,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 1000,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 1000,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 28,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 73,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 102,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 100,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 15,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 30,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 250,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 30,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 30,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 2,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 2,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 5,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 5,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 4,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
